condition,type,fixed,code_system,code,comorbidity_system
gi,pc,0,icd10,0D164K4,pccc
gi,pc,0,icd10,0D164K9,pccc
gi,pc,0,icd10,0D164KA,pccc
gi,pc,0,icd10,0D164Z4,pccc
gi,pc,0,icd10,0D168J4,pccc
gi,pc,0,icd10,0D168J9,pccc
gi,pc,0,icd10,0D168JA,pccc
gi,pc,0,icd10,0D168K4,pccc
gi,pc,0,icd10,0D168K9,pccc
gi,pc,0,icd10,0D168KA,pccc
gi,pc,0,icd10,0D168Z4,pccc
gi,pc,0,icd10,0D787ZZ,pccc
gi,pc,0,icd10,0D1307A,pccc
gi,pc,0,icd10,0D1307B,pccc
gi,pc,0,icd10,0D1607A,pccc
gi,pc,0,icd10,0D11074,pccc
gi,pc,0,icd10,0D11474,pccc
gi,pc,0,icd10,0D13079,pccc
gi,pc,0,icd10,0D15074,pccc
gi,pc,0,icd10,0D15474,pccc
gi,pc,0,icd10,0D16074,pccc
gi,pc,0,icd10,0D16474,pccc
gi,pc,0,icd10,0D16874,pccc
gi,pc,0,icd10,0DBB7ZZ,pccc
gi,pc,0,icd10,0DH50DZ,pccc
gi,pc,0,icd10,0DH50UZ,pccc
gi,pc,0,icd10,0DH53DZ,pccc
gi,pc,0,icd10,0DH53UZ,pccc
gi,pc,0,icd10,0DH54DZ,pccc
gi,pc,0,icd10,0DH54UZ,pccc
gi,pc,0,icd10,0DH57DZ,pccc
gi,pc,0,icd10,0DH57UZ,pccc
gi,pc,0,icd10,0DH58DZ,pccc
gi,pc,0,icd10,0DH58UZ,pccc
gi,pc,0,icd10,0DH63UZ,pccc
gi,pc,0,icd10,0DH64UZ,pccc
gi,pc,0,icd10,0DHA3UZ,pccc
gi,pc,0,icd10,0DHA4UZ,pccc
gi,pc,0,icd10,0DHA8UZ,pccc
gi,pc,0,icd10,0DN87ZZ,pccc
gi,pc,0,icd10,0DNE7ZZ,pccc
gi,pc,0,icd10,0DT50ZZ,pccc
gi,pc,0,icd10,0DT54ZZ,pccc
gi,pc,0,icd10,0DT57ZZ,pccc
gi,pc,0,icd10,0DT58ZZ,pccc
gi,pc,0,icd10,0DT60ZZ,pccc
